Barcode,Price
678285170970,85.99
678285170970,47.39
678285180122,52.78
678285180122,56.07
678285180139,87.34
678285180139,87.34
678285180177,49.95
678285180177,49.95
678285180191,47.35
678285180320,69.25
678285180375,107.2
678285190060,52.35
678285190077,57.91
678285190077,68.9
678285190084,87.65
678285190114,72.29
678285190282,44.89
678285190299,58.31
678285190336,40.73
713965404157,9.95
717108031217,28
729360052060,15.57
730928003004,16.78
730928003004,138.6
730928003004,11.35
735421360296,5.26
74950799983,44.98
757706125109,57
788379006983,6.99
788379658687,37.31
788379658809,85.37
788379670207,393.12
788379734909,73.25
788379911874,13.87
840036000748,13.99
840036000755,21.68
840036000755,12.89
840036000762,29.54
840036004302,68.31
840036004302,45.61
840036013298,10.94
840036013298,8.75
849640018033,5.92
860012731916,8.01
88204743:022,29.76
090944011408,10.98
090944012368,22.99
090944012429,9.58
090944022272,8
850999006022,23.02
052337034531,21.6
610377037730,8.5
610377040044,8.9
601402250736,6.99
601402251795,8
601402252310,5.49
610377059008,21.9
610377146029,18.9
610377205771,14.1
895878000002,35.33
042601030048,39.91
042601030109,19.85
042601030208,49.6
042601030246,80.95
042601030307,83.4
042601030321,79.31
735421360142,8.25
735421360159,8.15
735421360197,36.16
749319751035,14.95
749319751127,21.5
749319751417,26
749319751424,43.4
052337059589,94.7
610377170819,106.25
610377170833,59.95
037000968921,46.55
070183295449,199.81
036241742782,39.57
037000022879,52.08
092006000436,19.99
037000820274,33.75
041294973486,0
041737290088,61.75
044600356003,79.95
044600356041,67.24
046500723725,60.78
895415005231,68.65
044600011513,52.8
044600024520,0
446003077692,25.246
044600354177,65.99
044600354207,42.25
610377447379,9.8
037000365515,125.98
760034315719,46.05
023400001453,60.11
610377038331,8.25
610377040082,5.9
610377041065,22.56
610377041065,22.79
788379699765,17.9
788379699819,21.02
788379732875,16.07
788379733001,15.99
037000026136,43.48
037000451126,45.72
895415001872,39.01
010572010406,18.69
010572010413,18.69
035000531060,43.79
035110459551,74.373
035110459858,66.391
037000309427,21.9
037000318214,60.96
041294417737,36.13
895415000660,67.84
749319758072,6.99
035186206298,59.95
729661108121,28.6
786169016105,98.75
025336131006,160
078275024106,149.98
036000212690,84.25
036000214007,55.95
036000450030,
749507065002,31.77
749319756085,7.31
810006180107,134.48
6180107:5114,134.48
810006180152,124.8
6180152:5115,127.7
810006180183,140
601402120428,4.98
019800707597,66.3625
019800707658,70.48
120180010207,70.48
016500883200,47.74
017000060474,53.8
073852011712,74.99
073852021179,90.3
073852091028,65.19
120195002013,55.212
749319759550,15.92
777563630035,30.25
777563633449,50.35
052337077842,52.78
610377041287,3.99
610377041393,3.41
610377041072,23.08
610377041294,21.74
610377041300,20.98
788379658748,31.98
788379664817,56.95
788379733650,52
788379734169,33.49
788379734220,24.39
788379734725,40.14
610377041102,26.48
610377041119,24.16
078275000230,76.5
078275000261,87.98
078275002135,5.99
078275020115,26.64
078275020122,33.51
078275024106,119.8
078275154084,119.85
734040050212,9.75
610377043861,195.65
610377043946,330
788379648572,190.68
807154000067,16.85
807154140206,17.45
070052591979,37.39
070052986027,47.86
070052986249,40.365
098241043917,29.56
098241158215,26.39
312550803843,0
608271005542,46.24
749507981237,51.92
749507998020,45.81
749507998266,58.94
749507998341,28.89
762935010324,24.34
762935900632,31.05
0779/R2433N8,80.975
762935900816,45.91
762935900885,66.69
762935901172,59.77
762935901196,44.79
762935901219,46.44
762935901233,48.09
762935995911,36.32
532300601380,25.23
786674069740,198.85
786674069757,222.9
786674069764,252
786674069771,332.46
786674069788,184.9
786674069795,218.9
786674070319,329
022315306264,11
052337021937,11.39
052337023825,16.95
052337024952,29.9
610377209298,3.18
601402121043,7.36
601402110603,9.8
601402121043,9.24
601402121043,9.25
601402121265,4.99
601402121630,10
601402121692,5.93
601402121920,9.8
601402123627,10.25
601402254604,13.25
052337021944,9.19
052337022347,11
052337068864,5.3
610377213516,10.24
610377213516,8.5
610377041232,10.25
610377058995,7.49
786674069757,4
788379657710,10.58
788379693404,2.9
788379720575,6.05
788379885632,10.4
788379885779,9.2
025700701818,47.6
083675023468,14.35
892996002195,8.95
892996002096,11.89
892996002638,8.67
025528136864,1.35
025528136888,1.49
025528140328,2.69
049081131920,3.82
049081133320,2.59
049081137663,1.5
050143082050,6.42
611942082155,3.95
078399719629,28.95
687695101658,20
687695136254,20
749319754906,22.85
749319754920,26.8
855931002704,36.9
855931002711,36.9
840036000014,3.52
840036000045,8.68
840036000069,4.18
840036000090,8.8
40036000090l,8.97
840036000113,3.39
840036000144,8.36
840036000168,3.9
840036000199,6.79
840036000229,20.7
840036000250,3.68
840036000274,5.78
840036000304,2.85
840036000359,3.93
840036000540,5.06
840036000564,8.98
840036000595,5.18
840036000724,4.25
078399700603,25.6
078399729208,23.9
044600306374,46.2
052337069205,948.65
052337078443,383.9
052337054423,21.67
052337054546,8.67
